(.venv) PS C:\Users\ADOLFO\Desktop\MY\MARIO_G> python .\snake_ia.py
pygame 2.6.1 (SDL 2.28.4, Python 3.10.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Gen 124 | Mejor Score: 1 | Récord: 4
Gen 125 | Mejor Score: 2 | Récord: 4
Gen 126 | Mejor Score: 1 | Récord: 4
Gen 127 | Mejor Score: 1 | Récord: 4
Gen 128 | Mejor Score: 1 | Récord: 4
Gen 129 | Mejor Score: 1 | Récord: 4
Gen 130 | Mejor Score: 1 | Récord: 4
Gen 131 | Mejor Score: 2 | Récord: 4
Gen 132 | Mejor Score: 1 | Récord: 4
Gen 133 | Mejor Score: 1 | Récord: 4
Gen 134 | Mejor Score: 2 | Récord: 4
Gen 135 | Mejor Score: 1 | Récord: 4
Gen 136 | Mejor Score: 1 | Récord: 4
Gen 137 | Mejor Score: 1 | Récord: 4
Gen 138 | Mejor Score: 1 | Récord: 4
Gen 139 | Mejor Score: 0 | Récord: 4
Gen 140 | Mejor Score: 1 | Récord: 4
Gen 141 | Mejor Score: 1 | Récord: 4
Gen 142 | Mejor Score: 0 | Récord: 4
Gen 143 | Mejor Score: 1 | Récord: 4
Gen 144 | Mejor Score: 1 | Récord: 4
Gen 145 | Mejor Score: 1 | Récord: 4
Gen 146 | Mejor Score: 1 | Récord: 4
Gen 147 | Mejor Score: 1 | Récord: 4
Gen 148 | Mejor Score: 1 | Récord: 4
Gen 149 | Mejor Score: 1 | Récord: 4
Gen 150 | Mejor Score: 1 | Récord: 4
Gen 151 | Mejor Score: 2 | Récord: 4
Gen 152 | Mejor Score: 1 | Récord: 4
Gen 153 | Mejor Score: 2 | Récord: 4
Gen 154 | Mejor Score: 2 | Récord: 4
Gen 155 | Mejor Score: 1 | Récord: 4
Gen 156 | Mejor Score: 2 | Récord: 4
Gen 157 | Mejor Score: 1 | Récord: 4
Gen 158 | Mejor Score: 1 | Récord: 4
Gen 159 | Mejor Score: 1 | Récord: 4
Gen 160 | Mejor Score: 1 | Récord: 4
Gen 161 | Mejor Score: 1 | Récord: 4
Gen 162 | Mejor Score: 2 | Récord: 4
Gen 163 | Mejor Score: 1 | Récord: 4
Gen 164 | Mejor Score: 1 | Récord: 4
Gen 165 | Mejor Score: 1 | Récord: 4
Gen 166 | Mejor Score: 1 | Récord: 4
Gen 167 | Mejor Score: 2 | Récord: 4
Gen 168 | Mejor Score: 2 | Récord: 4
Gen 169 | Mejor Score: 1 | Récord: 4
Gen 170 | Mejor Score: 2 | Récord: 4
Gen 171 | Mejor Score: 3 | Récord: 4
Gen 172 | Mejor Score: 2 | Récord: 4
Gen 173 | Mejor Score: 1 | Récord: 4
Gen 174 | Mejor Score: 2 | Récord: 4
Gen 175 | Mejor Score: 1 | Récord: 4
Gen 176 | Mejor Score: 1 | Récord: 4
Gen 177 | Mejor Score: 1 | Récord: 4
Gen 178 | Mejor Score: 1 | Récord: 4
